,country_name,state_name,Zip,As of Date,health_risk_type_description,toxin_type_name,toxin_type_cd,toxin_limit_unit,toxin_limit_value,utility_id
5050,Merrimack,New Hampshire,33013,2020-12-31,"Problems with blood, nervous system, or reproductive system",CARBOFURAN,2046,MG/L,0.040000000000000001,FL4130604
5051,Merrimack,New Hampshire,33013,2020-12-31,Cardiovascular system or reproductive problems,ATRAZINE,2050,MG/L,0.0030000000000000001,FL4130604
5052,Merrimack,New Hampshire,33013,2020-12-31,Liver damage; increased risk of cancer,HEPTACHLOR,2065,MG/L,0.00040000000000000002,FL4130604
5053,Merrimack,New Hampshire,33013,2020-12-31,Liver damage; increased risk of cancer,HEPTACHLOR EPOXIDE,2067,MG/L,0.00020000000000000001,FL4130604
5054,Merrimack,New Hampshire,33013,2020-12-31,"Kidney, liver, or adrenal gland problems","2,4-D",2105,MG/L,0.070000000000000007,FL4130604
5055,Merrimack,New Hampshire,33013,2020-12-31,Liver problems,"2,4,5-TP",2110,MG/L,0.050000000000000003,FL4130604
5056,Merrimack,New Hampshire,33013,2020-12-31,Liver or kidney problems; reproductive difficulties; increased risk of cancer,HEXACHLOROBENZENE,2274,MG/L,0.001,FL4130604
5057,Merrimack,New Hampshire,33013,2020-12-31,Reproductive difficulties; increased risk of cancer,BENZO(A)PYRENE,2306,MG/L,0.00020000000000000001,FL4130604
5058,Merrimack,New Hampshire,33013,2020-12-31,Liver or kidney problems; increased cancer risk,PENTACHLOROPHENOL,2326,MG/L,0.001,FL4130604
5059,Merrimack,New Hampshire,33013,2020-12-31,Reproductive difficulties; increased risk of cancer,"1,2-DIBROMO-3-CHLOROPROPANE",2931,MG/L,0.00020000000000000001,FL4130604
5060,Merrimack,New Hampshire,33013,2020-12-31,"Problems with liver, stomach, reproductive system, or kidneys; increased risk of cancer",ETHYLENE DIBROMIDE,2946,MG/L,5.0000000000000002e-05,FL4130604
5061,Merrimack,New Hampshire,33013,2020-12-31,Liver or nervous system problems; increased risk of cancer,CHLORDANE,2959,MG/L,0.002,FL4130604
5062,Merrimack,New Hampshire,33013,2020-12-31,Increased risk of cancer,TOTAL HALOACETIC ACIDS (HAA5),2456,MG/L,0.059999999999999998,FL4130089
5063,Merrimack,New Hampshire,33013,2020-12-31,"Liver, kidney, or central nervous system problems; increased risk of cancer",TTHM,2950,MG/L,0.080000000000000002,FL4130089
5064,Grafton,New Hampshire,33009,2020-12-31,"Infants below the age of six months who drink water containing nitrate in excess of the MCL could become seriously ill and, if untreated, may die. Symptoms include shortness of breath and blue-baby syndrome.",NITRATE,1040,MG/L,10,FL4064326
5065,Grafton,New Hampshire,33009,2020-12-31,"Infants below the age of six months who drink water containing nitrite in excess of the MCL could become seriously ill and, if untreated, may die. Symptoms include shortness of breath and blue-baby syndrome.",NITRITE,1041,MG/L,1,FL4064326
5066,Grafton,New Hampshire,33009,2020-12-31,Liver problems,ENDRIN,2005,MG/L,0.002,FL4060253
5067,Grafton,New Hampshire,33009,2020-12-31,Reproductive difficulties,METHOXYCHLOR,2015,MG/L,0.040000000000000001,FL4060253
5068,Grafton,New Hampshire,33009,2020-12-31,"Kidney, liver, or thyroid problems; increased risk of cancer",TOXAPHENE,2020,MG/L,0.0030000000000000001,FL4060253
5069,Grafton,New Hampshire,33009,2020-12-31,Minor kidney changes,DALAPON,2031,MG/L,0.20000000000000001,FL4060253
5070,Grafton,New Hampshire,33009,2020-12-31,Cataracts,DIQUAT,2032,MG/L,0.02,FL4060253
5071,Grafton,New Hampshire,33009,2020-12-31,Kidney problems; reproductive difficulties,GLYPHOSATE,2034,MG/L,0.69999999999999996,FL4060253
5072,Grafton,New Hampshire,33009,2020-12-31,"Weight loss, liver problems, or possible reproductive difficulties",DI(2-ETHYLHEXYL) ADIPATE,2035,MG/L,0.40000000000000002,FL4060253
5073,Grafton,New Hampshire,33009,2020-12-31,Slight nervous system effects,OXAMYL,2036,MG/L,0.20000000000000001,FL4060253
5074,Grafton,New Hampshire,33009,2020-12-31,Problems with blood,SIMAZINE,2037,MG/L,0.0040000000000000001,FL4060253
5075,Grafton,New Hampshire,33009,2020-12-31,Reproductive difficulties; liver problems; increased risk of cancer,DI(2-ETHYLHEXYL) PHTHALATE,2039,MG/L,0.0060000000000000001,FL4060253
5076,Grafton,New Hampshire,33009,2020-12-31,Liver problems,PICLORAM,2040,MG/L,0.5,FL4060253
5077,Grafton,New Hampshire,33009,2020-12-31,Reproductive difficulties,DINOSEB,2041,MG/L,0.0070000000000000001,FL4060253
5078,Grafton,New Hampshire,33009,2020-12-31,Kidney or stomach problems,HEXACHLOROCYCLOPENTADIENE,2042,MG/L,0.050000000000000003,FL4060253
5079,Grafton,New Hampshire,33009,2020-12-31,"Problems with blood, nervous system, or reproductive system",CARBOFURAN,2046,MG/L,0.040000000000000001,FL4060253
5080,Grafton,New Hampshire,33009,2020-12-31,Cardiovascular system or reproductive problems,ATRAZINE,2050,MG/L,0.0030000000000000001,FL4060253
5081,Grafton,New Hampshire,33009,2020-12-31,Liver damage; increased risk of cancer,HEPTACHLOR,2065,MG/L,0.00040000000000000002,FL4060253
5082,Grafton,New Hampshire,33009,2020-12-31,Liver damage; increased risk of cancer,HEPTACHLOR EPOXIDE,2067,MG/L,0.00020000000000000001,FL4060253
5083,Grafton,New Hampshire,33009,2020-12-31,"Kidney, liver, or adrenal gland problems","2,4-D",2105,MG/L,0.070000000000000007,FL4060253
5084,Grafton,New Hampshire,33009,2020-12-31,Liver problems,"2,4,5-TP",2110,MG/L,0.050000000000000003,FL4060253
5085,Grafton,New Hampshire,33009,2020-12-31,Liver or kidney problems; reproductive difficulties; increased risk of cancer,HEXACHLOROBENZENE,2274,MG/L,0.001,FL4060253
5086,Grafton,New Hampshire,33009,2020-12-31,Reproductive difficulties; increased risk of cancer,BENZO(A)PYRENE,2306,MG/L,0.00020000000000000001,FL4060253
5087,Grafton,New Hampshire,33009,2020-12-31,Liver or kidney problems; increased cancer risk,PENTACHLOROPHENOL,2326,MG/L,0.001,FL4060253
5088,Grafton,New Hampshire,33009,2020-12-31,Reproductive difficulties; increased risk of cancer,"1,2-DIBROMO-3-CHLOROPROPANE",2931,MG/L,0.00020000000000000001,FL4060253
5089,Grafton,New Hampshire,33009,2020-12-31,"Problems with liver, stomach, reproductive system, or kidneys; increased risk of cancer",ETHYLENE DIBROMIDE,2946,MG/L,5.0000000000000002e-05,FL4060253
5090,Grafton,New Hampshire,33009,2020-12-31,Liver or nervous system problems; increased risk of cancer,CHLORDANE,2959,MG/L,0.002,FL4060253
5091,Grafton,New Hampshire,33009,2020-12-31,"Skin damage or problems with circulatory systems, and may have increased risk of getting cancer",ARSENIC,1005,MG/L,0.01,FL4061410
5092,Grafton,New Hampshire,33009,2020-12-31,Increase in blood pressure,BARIUM,1010,MG/L,2,FL4061410
5093,Grafton,New Hampshire,33009,2020-12-31,Kidney damage,CADMIUM,1015,MG/L,0.0050000000000000001,FL4061410
5094,Grafton,New Hampshire,33009,2020-12-31,Allergic dermatitis,CHROMIUM,1020,MG/L,0.10000000000000001,FL4061410
5095,Grafton,New Hampshire,33009,2020-12-31,Short-term exposure: Gastrointestinal distress. Long- term exposure: Liver or kidney damage. People with Wilson’s Disease should consult their personal doctor if the amount of copper in their water exceeds the action level,"COPPER, FREE",1022,TT; Action Level=1.3,1.3,FL4061408
5096,Grafton,New Hampshire,33009,2020-12-31,Nerve damage or thyroid problems,CYANIDE,1024,MG/L,0.20000000000000001,FL4061410
5097,Grafton,New Hampshire,33009,2020-12-31,Bone disease (pain and tenderness of the bones); children may get mottled teeth,FLUORIDE,1025,MG/L,4,FL4061410
5098,Grafton,New Hampshire,33009,2020-12-31,Infants and children: Delays in physical or mental development; children could show slight deficits in attention span and learning abilities; Adults: Kidney problems; high blood pressure,LEAD,1030,TT; Action Level,0.014999999999999999,FL4061410
5099,Grafton,New Hampshire,33009,2020-12-31,Kidney damage,MERCURY,1035,MG/L,0.002,FL4061410
5100,Grafton,New Hampshire,33009,2020-12-31,Hair or fingernail loss; numbness in fingers or toes; circulatory problems,SELENIUM,1045,MG/L,0.050000000000000003,FL4061410
5101,Grafton,New Hampshire,33009,2020-12-31,Increase in blood cholesterol; decrease in blood sugar,"ANTIMONY, TOTAL",1074,MG/L,0.0060000000000000001,FL4061410
5102,Grafton,New Hampshire,33009,2020-12-31,Intestinal lesions,"BERYLLIUM, TOTAL",1075,MG/L,0.0040000000000000001,FL4061410
5103,Grafton,New Hampshire,33009,2020-12-31,"Hair loss; changes in blood; kidney, intestine, or liver problems","THALLIUM, TOTAL",1085,MG/L,0.002,FL4061410
5104,Grafton,New Hampshire,33009,2020-12-31,Changes in adrenal glands,"1,2,4-TRICHLOROBENZENE",2378,MG/L,0.070000000000000007,FL4061408
5105,Grafton,New Hampshire,33009,2020-12-31,Liver problems,"CIS-1,2-DICHLOROETHYLENE",2380,MG/L,0.070000000000000007,FL4061408
5106,Grafton,New Hampshire,33009,2020-12-31,Nervous system damage,"XYLENES, TOTAL",2955,MG/L,10,FL4061408
5107,Grafton,New Hampshire,33009,2020-12-31,Liver problems; increased risk of cancer,DICHLOROMETHANE,2964,MG/L,0.0050000000000000001,FL4061408
5108,Grafton,New Hampshire,33009,2020-12-31,"Liver, kidney, or circulatory system problems",O-DICHLOROBENZENE,2968,MG/L,0.59999999999999998,FL4061408
5109,Grafton,New Hampshire,33009,2020-12-31,"Anemia; liver, kidney, or spleen damage; changes in blood",P-DICHLOROBENZENE,2969,MG/L,0.074999999999999997,FL4061408
5110,Grafton,New Hampshire,33009,2020-12-31,Increased risk of cancer,VINYL CHLORIDE,2976,MG/L,0.002,FL4061408
5111,Grafton,New Hampshire,33009,2020-12-31,Liver problems,"1,1-DICHLOROETHYLENE",2977,MG/L,0.0070000000000000001,FL4061408
5112,Grafton,New Hampshire,33009,2020-12-31,Liver problems,"TRANS-1,2-DICHLOROETHYLENE",2979,MG/L,0.10000000000000001,FL4061408
5113,Grafton,New Hampshire,33009,2020-12-31,Increased risk of cancer,"1,2-DICHLOROETHANE",2980,MG/L,0.0050000000000000001,FL4061408
5114,Grafton,New Hampshire,33009,2020-12-31,"Liver, nervous system, or circulatory problems","1,1,1-TRICHLOROETHANE",2981,MG/L,0.20000000000000001,FL4061408
5115,Grafton,New Hampshire,33009,2020-12-31,Liver problems; increased risk of cancer,CARBON TETRACHLORIDE,2982,MG/L,0.0050000000000000001,FL4061408
5116,Grafton,New Hampshire,33009,2020-12-31,Increased risk of cancer,"1,2-DICHLOROPROPANE",2983,MG/L,0.0050000000000000001,FL4061408
5117,Grafton,New Hampshire,33009,2020-12-31,Liver problems; increased risk of cancer,TRICHLOROETHYLENE,2984,MG/L,0.0050000000000000001,FL4061408
5118,Grafton,New Hampshire,33009,2020-12-31,"Liver, kidney, or immune system problems","1,1,2-TRICHLOROETHANE",2985,MG/L,0.0050000000000000001,FL4061408
5119,Grafton,New Hampshire,33009,2020-12-31,Liver problems; increased risk of cancer,TETRACHLOROETHYLENE,2987,MG/L,0.0050000000000000001,FL4061408
5120,Grafton,New Hampshire,33009,2020-12-31,Liver or kidney problems,CHLOROBENZENE,2989,MG/L,0.10000000000000001,FL4061408
5121,Grafton,New Hampshire,33009,2020-12-31,Anemia; decrease in blood platelets; increased risk of cancer,BENZENE,2990,MG/L,0.0050000000000000001,FL4061408
5122,Grafton,New Hampshire,33009,2020-12-31,"Nervous system, kidney, or liver problems",TOLUENE,2991,MG/L,1,FL4061408
5123,Grafton,New Hampshire,33009,2020-12-31,Liver or kidney problems,ETHYLBENZENE,2992,MG/L,0.69999999999999996,FL4061408
5124,Grafton,New Hampshire,33009,2020-12-31,"Liver, kidney, or circulatory system problems",STYRENE,2996,MG/L,0.10000000000000001,FL4061408
5125,Grafton,New Hampshire,33009,2020-12-31,"Increased risk of cancer, kidney toxicity",COMBINED URANIUM,4006,μg/L,30,FL4061408
5126,Grafton,New Hampshire,33009,2020-12-31,,RADIUM-226,4020,MG/L,0,FL4061408
5127,Grafton,New Hampshire,33009,2020-12-31,,RADIUM-228,4030,MG/L,0,FL4061408
5128,Grafton,New Hampshire,33009,2020-12-31,Increased risk of cancer,TOTAL HALOACETIC ACIDS (HAA5),2456,MG/L,0.059999999999999998,FL4060253
5129,Grafton,New Hampshire,33009,2020-12-31,"Liver, kidney, or central nervous system problems; increased risk of cancer",TTHM,2950,MG/L,0.080000000000000002,FL4060253
5130,Sullivan,New Hampshire,33019,2020-12-31,"Infants below the age of six months who drink water containing nitrate in excess of the MCL could become seriously ill and, if untreated, may die. Symptoms include shortness of breath and blue-baby syndrome.",NITRATE,1040,MG/L,10,FL4064326
5131,Sullivan,New Hampshire,33019,2020-12-31,"Infants below the age of six months who drink water containing nitrite in excess of the MCL could become seriously ill and, if untreated, may die. Symptoms include shortness of breath and blue-baby syndrome.",NITRITE,1041,MG/L,1,FL4064326
5132,Sullivan,New Hampshire,33019,2020-12-31,Liver problems,ENDRIN,2005,MG/L,0.002,FL4060253
5133,Sullivan,New Hampshire,33019,2020-12-31,Reproductive difficulties,METHOXYCHLOR,2015,MG/L,0.040000000000000001,FL4060253
5134,Sullivan,New Hampshire,33019,2020-12-31,"Kidney, liver, or thyroid problems; increased risk of cancer",TOXAPHENE,2020,MG/L,0.0030000000000000001,FL4060253
5135,Sullivan,New Hampshire,33019,2020-12-31,Minor kidney changes,DALAPON,2031,MG/L,0.20000000000000001,FL4060253
5136,Sullivan,New Hampshire,33019,2020-12-31,Cataracts,DIQUAT,2032,MG/L,0.02,FL4060253
5137,Sullivan,New Hampshire,33019,2020-12-31,Kidney problems; reproductive difficulties,GLYPHOSATE,2034,MG/L,0.69999999999999996,FL4060253
5138,Sullivan,New Hampshire,33019,2020-12-31,"Weight loss, liver problems, or possible reproductive difficulties",DI(2-ETHYLHEXYL) ADIPATE,2035,MG/L,0.40000000000000002,FL4060253
5139,Sullivan,New Hampshire,33019,2020-12-31,Slight nervous system effects,OXAMYL,2036,MG/L,0.20000000000000001,FL4060253
5140,Sullivan,New Hampshire,33019,2020-12-31,Problems with blood,SIMAZINE,2037,MG/L,0.0040000000000000001,FL4060253
5141,Sullivan,New Hampshire,33019,2020-12-31,Reproductive difficulties; liver problems; increased risk of cancer,DI(2-ETHYLHEXYL) PHTHALATE,2039,MG/L,0.0060000000000000001,FL4060253
5142,Sullivan,New Hampshire,33019,2020-12-31,Liver problems,PICLORAM,2040,MG/L,0.5,FL4060253
5143,Sullivan,New Hampshire,33019,2020-12-31,Reproductive difficulties,DINOSEB,2041,MG/L,0.0070000000000000001,FL4060253
5144,Sullivan,New Hampshire,33019,2020-12-31,Kidney or stomach problems,HEXACHLOROCYCLOPENTADIENE,2042,MG/L,0.050000000000000003,FL4060253
5145,Sullivan,New Hampshire,33019,2020-12-31,"Problems with blood, nervous system, or reproductive system",CARBOFURAN,2046,MG/L,0.040000000000000001,FL4060253
5146,Sullivan,New Hampshire,33019,2020-12-31,Cardiovascular system or reproductive problems,ATRAZINE,2050,MG/L,0.0030000000000000001,FL4060253
5147,Sullivan,New Hampshire,33019,2020-12-31,Liver damage; increased risk of cancer,HEPTACHLOR,2065,MG/L,0.00040000000000000002,FL4060253
5148,Sullivan,New Hampshire,33019,2020-12-31,Liver damage; increased risk of cancer,HEPTACHLOR EPOXIDE,2067,MG/L,0.00020000000000000001,FL4060253
5149,Sullivan,New Hampshire,33019,2020-12-31,"Kidney, liver, or adrenal gland problems","2,4-D",2105,MG/L,0.070000000000000007,FL4060253
5150,Sullivan,New Hampshire,33019,2020-12-31,Liver problems,"2,4,5-TP",2110,MG/L,0.050000000000000003,FL4060253
5151,Sullivan,New Hampshire,33019,2020-12-31,Liver or kidney problems; reproductive difficulties; increased risk of cancer,HEXACHLOROBENZENE,2274,MG/L,0.001,FL4060253
5152,Sullivan,New Hampshire,33019,2020-12-31,Reproductive difficulties; increased risk of cancer,BENZO(A)PYRENE,2306,MG/L,0.00020000000000000001,FL4060253
5153,Sullivan,New Hampshire,33019,2020-12-31,Liver or kidney problems; increased cancer risk,PENTACHLOROPHENOL,2326,MG/L,0.001,FL4060253
5154,Sullivan,New Hampshire,33019,2020-12-31,Reproductive difficulties; increased risk of cancer,"1,2-DIBROMO-3-CHLOROPROPANE",2931,MG/L,0.00020000000000000001,FL4060253
5155,Sullivan,New Hampshire,33019,2020-12-31,"Problems with liver, stomach, reproductive system, or kidneys; increased risk of cancer",ETHYLENE DIBROMIDE,2946,MG/L,5.0000000000000002e-05,FL4060253
5156,Sullivan,New Hampshire,33019,2020-12-31,Liver or nervous system problems; increased risk of cancer,CHLORDANE,2959,MG/L,0.002,FL4060253
5157,Sullivan,New Hampshire,33019,2020-12-31,"Skin damage or problems with circulatory systems, and may have increased risk of getting cancer",ARSENIC,1005,MG/L,0.01,FL4061410
5158,Sullivan,New Hampshire,33019,2020-12-31,Increase in blood pressure,BARIUM,1010,MG/L,2,FL4061410
5159,Sullivan,New Hampshire,33019,2020-12-31,Kidney damage,CADMIUM,1015,MG/L,0.0050000000000000001,FL4061410
5160,Sullivan,New Hampshire,33019,2020-12-31,Allergic dermatitis,CHROMIUM,1020,MG/L,0.10000000000000001,FL4061410
5161,Sullivan,New Hampshire,33019,2020-12-31,Short-term exposure: Gastrointestinal distress. Long- term exposure: Liver or kidney damage. People with Wilson’s Disease should consult their personal doctor if the amount of copper in their water exceeds the action level,"COPPER, FREE",1022,TT; Action Level=1.3,1.3,FL4061408
5162,Sullivan,New Hampshire,33019,2020-12-31,Nerve damage or thyroid problems,CYANIDE,1024,MG/L,0.20000000000000001,FL4061410
5163,Sullivan,New Hampshire,33019,2020-12-31,Bone disease (pain and tenderness of the bones); children may get mottled teeth,FLUORIDE,1025,MG/L,4,FL4061410
5164,Sullivan,New Hampshire,33019,2020-12-31,Infants and children: Delays in physical or mental development; children could show slight deficits in attention span and learning abilities; Adults: Kidney problems; high blood pressure,LEAD,1030,TT; Action Level,0.014999999999999999,FL4061410
5165,Sullivan,New Hampshire,33019,2020-12-31,Kidney damage,MERCURY,1035,MG/L,0.002,FL4061410
5166,Sullivan,New Hampshire,33019,2020-12-31,Hair or fingernail loss; numbness in fingers or toes; circulatory problems,SELENIUM,1045,MG/L,0.050000000000000003,FL4061410
5167,Sullivan,New Hampshire,33019,2020-12-31,Increase in blood cholesterol; decrease in blood sugar,"ANTIMONY, TOTAL",1074,MG/L,0.0060000000000000001,FL4061410
5168,Sullivan,New Hampshire,33019,2020-12-31,Intestinal lesions,"BERYLLIUM, TOTAL",1075,MG/L,0.0040000000000000001,FL4061410
5169,Sullivan,New Hampshire,33019,2020-12-31,"Hair loss; changes in blood; kidney, intestine, or liver problems","THALLIUM, TOTAL",1085,MG/L,0.002,FL4061410
5170,Sullivan,New Hampshire,33019,2020-12-31,Changes in adrenal glands,"1,2,4-TRICHLOROBENZENE",2378,MG/L,0.070000000000000007,FL4061408
5171,Sullivan,New Hampshire,33019,2020-12-31,Liver problems,"CIS-1,2-DICHLOROETHYLENE",2380,MG/L,0.070000000000000007,FL4061408
5172,Sullivan,New Hampshire,33019,2020-12-31,Nervous system damage,"XYLENES, TOTAL",2955,MG/L,10,FL4061408
5173,Sullivan,New Hampshire,33019,2020-12-31,Liver problems; increased risk of cancer,DICHLOROMETHANE,2964,MG/L,0.0050000000000000001,FL4061408
5174,Sullivan,New Hampshire,33019,2020-12-31,"Liver, kidney, or circulatory system problems",O-DICHLOROBENZENE,2968,MG/L,0.59999999999999998,FL4061408
5175,Sullivan,New Hampshire,33019,2020-12-31,"Anemia; liver, kidney, or spleen damage; changes in blood",P-DICHLOROBENZENE,2969,MG/L,0.074999999999999997,FL4061408
5176,Sullivan,New Hampshire,33019,2020-12-31,Increased risk of cancer,VINYL CHLORIDE,2976,MG/L,0.002,FL4061408
5177,Sullivan,New Hampshire,33019,2020-12-31,Liver problems,"1,1-DICHLOROETHYLENE",2977,MG/L,0.0070000000000000001,FL4061408
5178,Sullivan,New Hampshire,33019,2020-12-31,Liver problems,"TRANS-1,2-DICHLOROETHYLENE",2979,MG/L,0.10000000000000001,FL4061408
5179,Sullivan,New Hampshire,33019,2020-12-31,Increased risk of cancer,"1,2-DICHLOROETHANE",2980,MG/L,0.0050000000000000001,FL4061408
5180,Sullivan,New Hampshire,33019,2020-12-31,"Liver, nervous system, or circulatory problems","1,1,1-TRICHLOROETHANE",2981,MG/L,0.20000000000000001,FL4061408
5181,Sullivan,New Hampshire,33019,2020-12-31,Liver problems; increased risk of cancer,CARBON TETRACHLORIDE,2982,MG/L,0.0050000000000000001,FL4061408
5182,Sullivan,New Hampshire,33019,2020-12-31,Increased risk of cancer,"1,2-DICHLOROPROPANE",2983,MG/L,0.0050000000000000001,FL4061408
5183,Sullivan,New Hampshire,33019,2020-12-31,Liver problems; increased risk of cancer,TRICHLOROETHYLENE,2984,MG/L,0.0050000000000000001,FL4061408
5184,Sullivan,New Hampshire,33019,2020-12-31,"Liver, kidney, or immune system problems","1,1,2-TRICHLOROETHANE",2985,MG/L,0.0050000000000000001,FL4061408
5185,Sullivan,New Hampshire,33019,2020-12-31,Liver problems; increased risk of cancer,TETRACHLOROETHYLENE,2987,MG/L,0.0050000000000000001,FL4061408
5186,Sullivan,New Hampshire,33019,2020-12-31,Liver or kidney problems,CHLOROBENZENE,2989,MG/L,0.10000000000000001,FL4061408
5187,Sullivan,New Hampshire,33019,2020-12-31,Anemia; decrease in blood platelets; increased risk of cancer,BENZENE,2990,MG/L,0.0050000000000000001,FL4061408
5188,Sullivan,New Hampshire,33019,2020-12-31,"Nervous system, kidney, or liver problems",TOLUENE,2991,MG/L,1,FL4061408
5189,Sullivan,New Hampshire,33019,2020-12-31,Liver or kidney problems,ETHYLBENZENE,2992,MG/L,0.69999999999999996,FL4061408
5190,Sullivan,New Hampshire,33019,2020-12-31,"Liver, kidney, or circulatory system problems",STYRENE,2996,MG/L,0.10000000000000001,FL4061408
5191,Sullivan,New Hampshire,33019,2020-12-31,"Increased risk of cancer, kidney toxicity",COMBINED URANIUM,4006,μg/L,30,FL4061408
5192,Sullivan,New Hampshire,33019,2020-12-31,,RADIUM-226,4020,MG/L,0,FL4061408
5193,Sullivan,New Hampshire,33019,2020-12-31,,RADIUM-228,4030,MG/L,0,FL4061408
5194,Sullivan,New Hampshire,33019,2020-12-31,Increased risk of cancer,TOTAL HALOACETIC ACIDS (HAA5),2456,MG/L,0.059999999999999998,FL4060253
5195,Sullivan,New Hampshire,33019,2020-12-31,"Liver, kidney, or central nervous system problems; increased risk of cancer",TTHM,2950,MG/L,0.080000000000000002,FL4060253
5196,Hillsborough,New Hampshire,33011,2020-12-31,"Skin damage or problems with circulatory systems, and may have increased risk of getting cancer",ARSENIC,1005,MG/L,0.01,FL4134357
5197,Hillsborough,New Hampshire,33011,2020-12-31,Increase in blood pressure,BARIUM,1010,MG/L,2,FL4134357
5198,Hillsborough,New Hampshire,33011,2020-12-31,Kidney damage,CADMIUM,1015,MG/L,0.0050000000000000001,FL4134357
5199,Hillsborough,New Hampshire,33011,2020-12-31,Allergic dermatitis,CHROMIUM,1020,MG/L,0.10000000000000001,FL4134357
5200,Hillsborough,New Hampshire,33011,2020-12-31,Short-term exposure: Gastrointestinal distress. Long- term exposure: Liver or kidney damage. People with Wilson’s Disease should consult their personal doctor if the amount of copper in their water exceeds the action level,"COPPER, FREE",1022,TT; Action Level=1.3,1.3,FL4134357
5201,Hillsborough,New Hampshire,33011,2020-12-31,Nerve damage or thyroid problems,CYANIDE,1024,MG/L,0.20000000000000001,FL4134357
5202,Hillsborough,New Hampshire,33011,2020-12-31,Bone disease (pain and tenderness of the bones); children may get mottled teeth,FLUORIDE,1025,MG/L,4,FL4134357
5203,Hillsborough,New Hampshire,33011,2020-12-31,Infants and children: Delays in physical or mental development; children could show slight deficits in attention span and learning abilities; Adults: Kidney problems; high blood pressure,LEAD,1030,TT; Action Level,0.014999999999999999,FL4134357
5204,Hillsborough,New Hampshire,33011,2020-12-31,Kidney damage,MERCURY,1035,MG/L,0.002,FL4134357
5205,Hillsborough,New Hampshire,33011,2020-12-31,Hair or fingernail loss; numbness in fingers or toes; circulatory problems,SELENIUM,1045,MG/L,0.050000000000000003,FL4134357
5206,Hillsborough,New Hampshire,33011,2020-12-31,Increase in blood cholesterol; decrease in blood sugar,"ANTIMONY, TOTAL",1074,MG/L,0.0060000000000000001,FL4134357
5207,Hillsborough,New Hampshire,33011,2020-12-31,Intestinal lesions,"BERYLLIUM, TOTAL",1075,MG/L,0.0040000000000000001,FL4134357
5208,Hillsborough,New Hampshire,33011,2020-12-31,"Hair loss; changes in blood; kidney, intestine, or liver problems","THALLIUM, TOTAL",1085,MG/L,0.002,FL4134357
5209,Hillsborough,New Hampshire,33011,2020-12-31,Changes in adrenal glands,"1,2,4-TRICHLOROBENZENE",2378,MG/L,0.070000000000000007,FL4134357
5210,Hillsborough,New Hampshire,33011,2020-12-31,Liver problems,"CIS-1,2-DICHLOROETHYLENE",2380,MG/L,0.070000000000000007,FL4134357
5211,Hillsborough,New Hampshire,33011,2020-12-31,Nervous system damage,"XYLENES, TOTAL",2955,MG/L,10,FL4134357
5212,Hillsborough,New Hampshire,33011,2020-12-31,Liver problems; increased risk of cancer,DICHLOROMETHANE,2964,MG/L,0.0050000000000000001,FL4134357
5213,Hillsborough,New Hampshire,33011,2020-12-31,"Liver, kidney, or circulatory system problems",O-DICHLOROBENZENE,2968,MG/L,0.59999999999999998,FL4134357
5214,Hillsborough,New Hampshire,33011,2020-12-31,"Anemia; liver, kidney, or spleen damage; changes in blood",P-DICHLOROBENZENE,2969,MG/L,0.074999999999999997,FL4134357
5215,Hillsborough,New Hampshire,33011,2020-12-31,Increased risk of cancer,VINYL CHLORIDE,2976,MG/L,0.002,FL4134357
5216,Hillsborough,New Hampshire,33011,2020-12-31,Liver problems,"1,1-DICHLOROETHYLENE",2977,MG/L,0.0070000000000000001,FL4134357
5217,Hillsborough,New Hampshire,33011,2020-12-31,Liver problems,"TRANS-1,2-DICHLOROETHYLENE",2979,MG/L,0.10000000000000001,FL4134357
5218,Hillsborough,New Hampshire,33011,2020-12-31,Increased risk of cancer,"1,2-DICHLOROETHANE",2980,MG/L,0.0050000000000000001,FL4134357
5219,Hillsborough,New Hampshire,33011,2020-12-31,"Liver, nervous system, or circulatory problems","1,1,1-TRICHLOROETHANE",2981,MG/L,0.20000000000000001,FL4134357
5220,Hillsborough,New Hampshire,33011,2020-12-31,Liver problems; increased risk of cancer,CARBON TETRACHLORIDE,2982,MG/L,0.0050000000000000001,FL4134357
5221,Hillsborough,New Hampshire,33011,2020-12-31,Increased risk of cancer,"1,2-DICHLOROPROPANE",2983,MG/L,0.0050000000000000001,FL4134357
5222,Hillsborough,New Hampshire,33011,2020-12-31,Liver problems; increased risk of cancer,TRICHLOROETHYLENE,2984,MG/L,0.0050000000000000001,FL4134357
5223,Hillsborough,New Hampshire,33011,2020-12-31,"Liver, kidney, or immune system problems","1,1,2-TRICHLOROETHANE",2985,MG/L,0.0050000000000000001,FL4134357
5224,Hillsborough,New Hampshire,33011,2020-12-31,Liver problems; increased risk of cancer,TETRACHLOROETHYLENE,2987,MG/L,0.0050000000000000001,FL4134357
5225,Hillsborough,New Hampshire,33011,2020-12-31,Liver or kidney problems,CHLOROBENZENE,2989,MG/L,0.10000000000000001,FL4134357
5226,Hillsborough,New Hampshire,33011,2020-12-31,Anemia; decrease in blood platelets; increased risk of cancer,BENZENE,2990,MG/L,0.0050000000000000001,FL4134357
5227,Hillsborough,New Hampshire,33011,2020-12-31,"Nervous system, kidney, or liver problems",TOLUENE,2991,MG/L,1,FL4134357
5228,Hillsborough,New Hampshire,33011,2020-12-31,Liver or kidney problems,ETHYLBENZENE,2992,MG/L,0.69999999999999996,FL4134357
